OS_NAME,WEEK_NUMBER,TOTAL_REVENUE
MOCOR OS,35,18.151563871
MTK RTOS,22,265.72961617
MTK RTOS,23,450.939760746
MTK RTOS,24,416.277843589
MTK RTOS,25,393.826235679
MTK RTOS,26,445.057511625
MTK RTOS,27,508.205689148
MTK RTOS,28,325.077064324
MTK RTOS,29,370.054271134
MTK RTOS,30,416.857130208
MTK RTOS,31,422.222961122
MTK RTOS,32,402.291723059
MTK RTOS,33,495.865031136
MTK RTOS,34,553.194123801
MTK RTOS,35,408.968393237
NUCLEUS,22,42.187982689
NUCLEUS,23,29.688485951
NUCLEUS,24,37.850272999
NUCLEUS,25,26.345108979
NUCLEUS,26,43.915308564
NUCLEUS,27,27.709629072
NUCLEUS,28,61.176532941
NUCLEUS,29,46.136634497
NUCLEUS,30,25.112378422
NUCLEUS,31,76.166129145
NUCLEUS,32,29.321846993
NUCLEUS,33,47.731885538
NUCLEUS,34,61.088019497
NUCLEUS,35,31.733858382
Nokia OS,22,991.24688216
Nokia OS,23,929.40169107
Nokia OS,24,987.567123512
Nokia OS,25,926.123251887
Nokia OS,26,923.197004956
Nokia OS,27,992.024231606
Nokia OS,28,1007.311368153
Nokia OS,29,974.323936912
Nokia OS,30,926.378362415
Nokia OS,31,1018.411085961
Nokia OS,32,1091.561058921
Nokia OS,33,1082.691017293
Nokia OS,34,1174.549098391
Nokia OS,35,1119.480264139
Proprietary OS,22,15505.205786499
Proprietary OS,23,18556.928528279
Proprietary OS,24,18714.197077244
Proprietary OS,25,16010.107328921
Proprietary OS,26,16354.443555602
Proprietary OS,27,16707.355960275
Proprietary OS,28,16368.888221047
Proprietary OS,29,17572.882255055
Proprietary OS,30,17764.749056447
Proprietary OS,31,18965.920261324
Proprietary OS,32,20055.309841168
Proprietary OS,33,20843.934490167
Proprietary OS,34,21151.084650558
Proprietary OS,35,20755.712681956
SPREADTRUM OS,22,149.126944487
SPREADTRUM OS,23,144.257779899
SPREADTRUM OS,24,182.35181741
SPREADTRUM OS,25,159.227003567
SPREADTRUM OS,26,133.877551405
SPREADTRUM OS,27,99.17715413
SPREADTRUM OS,28,88.807478881
SPREADTRUM OS,29,142.76896962
SPREADTRUM OS,30,152.28229163
SPREADTRUM OS,31,185.058288191
SPREADTRUM OS,32,186.122073479
SPREADTRUM OS,33,162.077345736
SPREADTRUM OS,34,156.993575563
SPREADTRUM OS,35,194.246352843
Samsung OS,22,5923.126835376
Samsung OS,23,7090.550907985
Samsung OS,24,7782.075862485
Samsung OS,25,6394.039546084
Samsung OS,26,6373.940310761
Samsung OS,27,6252.050937119
Samsung OS,28,6616.428803262
Samsung OS,29,6688.431357069
Samsung OS,30,6818.172377094
Samsung OS,31,7469.687840523
Samsung OS,32,7332.461163668
Samsung OS,33,7544.233843984
Samsung OS,34,7680.430366683
Samsung OS,35,7800.999807445
Series30,22,4877.607858368
Series30,23,6079.960976699
Series30,24,5920.414466327
Series30,25,5468.433841692
Series30,26,5191.961865772
Series30,27,5395.097473678
Series30,28,5282.633088644
Series30,29,5124.545457253
Series30,30,5437.089235569
Series30,31,5971.761244607
Series30,32,5799.29882248
Series30,33,5866.213724236
Series30,34,6456.218003872
Series30,35,6277.899035423
Series40,22,3314.499774817
Series40,23,3597.586884581
Series40,24,4069.66278141
Series40,25,3086.65009943
Series40,26,3208.027309989
Series40,27,3345.698483937
Series40,28,3067.325215549
Series40,29,3409.720037717
Series40,30,3578.719684532
Series40,31,3816.179971708
Series40,32,3786.597405965
Series40,33,3877.068153141
Series40,34,3945.618766558
Series40,35,3761.785611595
Series60,22,526.508328362
Series60,23,727.533669404
Series60,24,696.773976014
Series60,25,533.77238782
Series60,26,540.269365736
Series60,27,628.629221702
Series60,28,702.284406072
Series60,29,706.052642914
Series60,30,657.698370456
Series60,31,595.881935639
Series60,32,716.701398027
Series60,33,794.516889546
Series60,34,746.007580524
Series60,35,858.738062904
Siemens OS,22,154.357665038
Siemens OS,23,152.898051241
Siemens OS,24,186.887813556
Siemens OS,25,137.915622961
Siemens OS,26,101.496092759
Siemens OS,27,163.598615904
Siemens OS,28,212.903164536
Siemens OS,29,188.845481171
Siemens OS,30,163.115748544
Siemens OS,31,171.510702792
Siemens OS,32,136.706562454
Siemens OS,33,125.434061178
Siemens OS,34,184.437948232
Siemens OS,35,144.776647288
Symbian OS,22,12450.372447011
Symbian OS,23,14737.284132678
Symbian OS,24,14204.2174762
Symbian OS,25,12144.768113283
Symbian OS,26,13241.217152668
Symbian OS,27,12776.685564342
Symbian OS,28,13285.509713067
Symbian OS,29,13183.539420838
Symbian OS,30,13666.217251197
Symbian OS,31,14749.941235708
Symbian OS,32,14565.630960647
Symbian OS,33,14896.438058877
Symbian OS,34,15823.957312749
Symbian OS,35,15772.008782473
Tizen,22,152.46968556
Tizen,23,139.05988888
Tizen,24,162.821179738
Tizen,25,103.569483046
Tizen,26,113.165132303
Tizen,27,108.524807607
Tizen,28,111.296856836
Tizen,29,173.073771663
Tizen,30,106.940750562
Tizen,31,139.321902544
Tizen,32,92.662062232
Tizen,33,94.543951361
Tizen,34,147.070450545
Tizen,35,182.053623598
VRTXmc,22,27.352601256
VRTXmc,23,21.327143031
VRTXmc,24,16.73069947
VRTXmc,25,8.733509107
VRTXmc,26,5.682486399
VRTXmc,27,26.227177571
VRTXmc,29,27.579181272
VRTXmc,30,30.490657838
VRTXmc,31,34.10870298
VRTXmc,32,28.203803729
VRTXmc,33,42.228299505
VRTXmc,34,18.225859465
VRTXmc,35,28.206509209
Windows phone,22,422.167122161
Windows phone,23,408.457947068
Windows phone,24,466.421072813
Windows phone,25,371.645963244
Windows phone,26,466.323168657
Windows phone,27,327.973822087
Windows phone,28,375.750072218
Windows phone,29,399.799793725
Windows phone,30,413.601483122
Windows phone,31,474.367015148
Windows phone,32,486.544434539
Windows phone,33,414.802474325
Windows phone,34,437.429146359
Windows phone,35,425.647137032
Yun OS,22,4.255775883
Yun OS,23,7.766537805
Yun OS,24,18.508020665
Yun OS,25,9.691276464
Yun OS,27,4.87532797
Yun OS,28,4.50641972
Yun OS,29,4.735995136
Yun OS,30,5.577931057
Yun OS,32,11.488617015
Yun OS,34,12.191361158
Yun OS,35,2.79105859
iOS,22,1535.177208203
iOS,23,1844.922827687
iOS,24,2044.816669132
iOS,25,1393.139939879
iOS,26,1615.873415459
iOS,27,1651.626463629
iOS,28,1709.456262033
iOS,29,1811.474180599
iOS,30,1930.835132544
iOS,31,1811.742433043
iOS,32,2084.940217038
iOS,33,1955.182749453
iOS,34,2015.597576859
iOS,35,1976.520862058
unknown,22,37575.096741617
unknown,23,44169.768787709
unknown,24,44948.494369343
unknown,25,40370.176900947
unknown,26,41013.024323089
unknown,27,40068.505477129
unknown,28,40986.795585675
unknown,29,42818.471905949
unknown,30,42655.581051196
unknown,31,47046.800736977
unknown,32,47559.559026446
unknown,33,49983.538420453
unknown,34,52065.505917566
unknown,35,51057.288926746
