BRAND_NAME,WEEK_NUMBER,TOTAL_REVENUE
ASUS,28,247.909591847
ASUS,29,274.05508152
ASUS,30,277.277436528
ASUS,31,305.709922229
ASUS,32,289.031074193
ASUS,33,296.297552041
ASUS,34,351.93681415
ASUS,35,342.845988252
BEE,22,28.825033867
BEE,23,35.946544327
BEE,24,9.262600567
BEE,25,37.887967545
BEE,26,7.005287126
BEE,27,24.139696854
BEE,28,25.055423304
BEE,29,12.829840017
BEE,30,17.229930968
BEE,31,20.089312048
BEE,32,44.874416838
BEE,33,34.620935155
BEE,34,6.487787708
BEE,35,7.786266731
BIRD,22,73.873271992
BIRD,23,56.012599019
BIRD,24,64.540212712
BIRD,25,22.759994564
BIRD,26,48.557800988
BIRD,27,61.817206314
BIRD,28,19.63825449
BIRD,29,31.422164296
BIRD,30,19.350018042
BIRD,31,51.43197688
BIRD,32,42.744662523
BIRD,33,41.758680882
BIRD,34,65.833773186
BIRD,35,70.412155741
BLACKBERRY,22,52.430710601
BLACKBERRY,23,23.842571039
BLACKBERRY,24,50.009988361
BLACKBERRY,25,19.417007527
BLACKBERRY,26,29.560570107
BLACKBERRY,27,9.586375318
BLACKBERRY,28,30.960900161
BLACKBERRY,29,17.218863122
BLACKBERRY,30,30.252919025
BLACKBERRY,31,25.92476132
BLACKBERRY,32,39.931523186
BLACKBERRY,33,29.052681334
BLACKBERRY,34,39.003943115
BLACKBERRY,35,72.044923951
BLEPHONE TECH,22,32.310263138
BLEPHONE TECH,23,29.38722538
BLEPHONE TECH,24,18.051273018
BLEPHONE TECH,25,7.336592482
BLEPHONE TECH,26,51.404812792
BLEPHONE TECH,27,24.037101173
BLEPHONE TECH,28,48.39490053
BLEPHONE TECH,29,11.070779611
BLEPHONE TECH,30,25.632847878
BLEPHONE TECH,31,40.843440411
BLEPHONE TECH,32,38.734337575
BLEPHONE TECH,33,33.009810623
BLEPHONE TECH,34,31.591160539
BLEPHONE TECH,35,22.853429312
BLU,22,58.545775973
BLU,23,72.430529285
BLU,24,107.990400432
BLU,25,86.271756217
BLU,26,71.697191858
BLU,27,38.850349592
BLU,28,50.209225355
BLU,29,92.58625502
BLU,30,88.214598823
BLU,31,72.329951405
BLU,32,69.095505962
BLU,33,56.194793018
BLU,34,67.346274843
BLU,35,88.457542052
BLUEBERRY,22,59.045425953
BLUEBERRY,23,46.611298204
BLUEBERRY,24,70.335288576
BLUEBERRY,25,63.494899381
BLUEBERRY,26,61.065486423
BLUEBERRY,27,61.073952308
BLUEBERRY,28,58.134400944
BLUEBERRY,29,39.752417985
BLUEBERRY,30,51.356288847
BLUEBERRY,31,50.241194287
BLUEBERRY,32,58.787923761
BLUEBERRY,33,69.742697405
BLUEBERRY,34,87.347427631
BLUEBERRY,35,77.023696383
BOCOIN,22,8.572781764
BOCOIN,23,20.570921956
BOCOIN,24,19.721038239
BOCOIN,25,1.618106322
BOCOIN,27,5.900801565
BOCOIN,28,4.836938893
BOCOIN,29,4.5842112
BOCOIN,30,16.482193838
BOCOIN,31,18.456049442
BOCOIN,32,4.235192182
BOCOIN,33,5.164289755
BOCOIN,34,9.88926438
BOCOIN,35,13.623330256
BOPEL,22,17.239247395
BOPEL,23,46.646533679
BOPEL,24,14.437023902
BOPEL,25,39.08306236
BOPEL,26,32.007689324
BOPEL,27,29.549582348
BOPEL,28,28.284813595
BOPEL,29,54.385133895
BOPEL,30,45.8196177
BOPEL,31,89.54551413
BOPEL,32,64.258941318
BOPEL,33,59.975174631
BOPEL,34,83.461067617
BOPEL,35,65.157772381
BRIGHT,22,19.186741487
BRIGHT,23,2.246570834
BRIGHT,25,15.028394871
BRIGHT,26,14.800445509
BRIGHT,27,12.321085245
BRIGHT,28,1.00950324
BRIGHT,29,16.51996155
BRIGHT,30,7.137240544
BRIGHT,31,10.141117755
BRIGHT,32,22.720198414
BRIGHT,33,20.553490857
BRIGHT,34,8.757792632
BRIGHT,35,9.182524771
BUZZ,22,4.829374794
BUZZ,23,12.746956387
BUZZ,24,10.779864377
BUZZ,25,16.684017567
BUZZ,26,8.237504265
BUZZ,27,31.168798824
BUZZ,28,13.983547667
BUZZ,29,14.680085061
BUZZ,30,18.958140589
BUZZ,31,23.404567559
BUZZ,32,22.459066376
BUZZ,33,38.840874924
BUZZ,34,29.779598458
BUZZ,35,34.315440663
BY2,22,37.160277281
BY2,23,60.159355324
BY2,24,65.773643542
BY2,25,76.83676416
BY2,26,39.062849694
BY2,27,115.514945149
BY2,28,48.534222468
BY2,29,42.946426902
BY2,30,47.202032784
BY2,31,50.363904808
BY2,32,85.701544783
BY2,33,78.174278527
BY2,34,81.494144349
BY2,35,101.519974591
CECT,22,19.018526162
CECT,23,11.918547748
CECT,24,3.412970726
CECT,25,20.079633965
CECT,26,12.749858102
CECT,27,17.875160952
CECT,28,2.086270847
CECT,29,17.679471375
CECT,30,3.465928144
CECT,31,6.326825962
CECT,32,5.374261203
CECT,33,3.415932741
CECT,34,13.969658929
CECT,35,21.288878079
CELLULAR,25,14.971524472
CELLULAR,27,3.844545299
CELLULAR,29,8.789284032
CELLULAR,31,20.589553931
CELLULAR,32,17.336600334
CELLULAR,33,11.410579879
CELLULAR,34,18.76910892
CELLULAR,35,9.634480235
CITYCALL,22,19.207865003
CITYCALL,23,20.028709983
CITYCALL,24,17.670161024
CITYCALL,25,3.537474938
CITYCALL,26,7.18937624
CITYCALL,27,3.950947381
CITYCALL,28,7.470373309
CITYCALL,29,16.622549179
CITYCALL,30,16.39749044
CITYCALL,31,18.459612559
CITYCALL,32,9.392331122
CITYCALL,33,12.013791949
CITYCALL,34,13.402264138
CITYCALL,35,7.672128414
CK TELECOM,22,1.147449836
CK TELECOM,23,1.0088417
CK TELECOM,24,18.356587443
CK TELECOM,25,7.040139653
CK TELECOM,26,3.772853642
CK TELECOM,31,4.60077158
CK TELECOM,32,13.079913755
CK TELECOM,33,8.427498133
CK TELECOM,34,22.401833559
CK TELECOM,35,11.480150185
COOLPAD,22,15.996530351
COOLPAD,23,7.407267649
COOLPAD,24,10.291704833
COOLPAD,25,7.286890618
COOLPAD,26,12.392952481
COOLPAD,27,12.884175277
COOLPAD,28,8.305167318
COOLPAD,29,13.471744714
COOLPAD,30,15.574965925
COOLPAD,31,7.586270339
COOLPAD,32,17.374991195
COOLPAD,33,17.967820877
COOLPAD,34,13.943298062
COOLPAD,35,5.000641382
CORN,22,6.245226176
CORN,23,15.991668456
CORN,24,2.621776946
CORN,25,19.297610004
CORN,26,1.959127753
CORN,27,17.825381214
CORN,28,16.938254144
CORN,29,6.825537099
CORN,30,17.12922928
CORN,31,13.502719971
CORN,32,4.607529036
CORN,33,16.634958272
CORN,34,18.644083696
CORN,35,1.993339703
DAFFODIL COMPUTERS LIMITED,22,24.448050219
DAFFODIL COMPUTERS LIMITED,23,12.01083922
DAFFODIL COMPUTERS LIMITED,24,10.359363956
DAFFODIL COMPUTERS LIMITED,25,18.316553094
DAFFODIL COMPUTERS LIMITED,26,32.780217483
DAFFODIL COMPUTERS LIMITED,27,18.652871413
DAFFODIL COMPUTERS LIMITED,28,7.898708433
DAFFODIL COMPUTERS LIMITED,29,18.696362055
DAFFODIL COMPUTERS LIMITED,30,7.199240034
DAFFODIL COMPUTERS LIMITED,31,20.796368594
DAFFODIL COMPUTERS LIMITED,32,7.469256096
DAFFODIL COMPUTERS LIMITED,33,20.521336748
DAFFODIL COMPUTERS LIMITED,34,19.682350987
DAFFODIL COMPUTERS LIMITED,35,32.578759302
DARAGO,22,43.430268213
DARAGO,23,59.318519007
DARAGO,24,78.014775505
DARAGO,25,75.786343302
DARAGO,26,43.353832574
DARAGO,27,46.689012006
DARAGO,28,52.656340419
DARAGO,29,58.588521962
DARAGO,30,72.018032465
DARAGO,31,33.862690359
DARAGO,32,57.657045559
DARAGO,33,77.988843346
DARAGO,34,49.47105781
DARAGO,35,67.995707177
DBBD,22,15.376049557
DBBD,23,3.739918143
DBBD,24,9.713979314
DBBD,25,13.936822316
DBBD,26,1.246075551
DBBD,27,4.060740911
DBBD,28,10.651578179
DBBD,29,10.644326604
DBBD,30,14.056181509
DBBD,31,7.23063173
DBBD,32,16.340319638
DBBD,33,15.157390507
DBBD,34,15.6734925
DBBD,35,6.743329646
DOOGEE,22,100.678905105
DOOGEE,23,110.796657056
DOOGEE,24,101.488573671
DOOGEE,25,129.094859463
DOOGEE,26,109.78472621
DOOGEE,27,87.376755035
DOOGEE,28,107.797203915
DOOGEE,29,143.724796684
DOOGEE,30,72.272335924
DOOGEE,31,75.415241239
DOOGEE,32,84.666744385
DOOGEE,33,63.187487269
DOOGEE,34,163.712616458
DOOGEE,35,127.941705924
DREAM,22,20.383892722
DREAM,23,5.530560082
DREAM,24,10.055168818
DREAM,25,4.451658538
DREAM,26,8.068479037
DREAM,27,13.95052319
DREAM,28,5.388867046
DREAM,29,15.959744194
DREAM,30,14.30884388
DREAM,31,4.113935056
DREAM,32,20.649428464
DREAM,33,11.122729085
DREAM,34,17.174346794
DREAM,35,14.416543403
ECONNECT,28,9.255893358
ECONNECT,29,6.366674229
ECONNECT,30,6.036858587
ECONNECT,32,21.110376776
ECONNECT,33,5.245885664
ECONNECT,34,12.752695649
ECONNECT,35,20.813090559
EIROGA,22,20.305962376
EIROGA,23,16.944442833
EIROGA,24,22.805948607
EIROGA,25,11.194044046
EIROGA,26,8.080692523
EIROGA,27,8.228565176
EIROGA,28,12.096940938
EIROGA,29,10.28526532
EIROGA,30,3.592314303
EIROGA,31,18.041844544
EIROGA,32,4.602510963
EIROGA,33,11.316823609
EIROGA,34,17.896300189
EIROGA,35,7.489557671
ELITE,22,32.26606295
ELITE,23,65.049809022
ELITE,24,33.252444269
ELITE,25,66.574016591
ELITE,26,54.399076577
ELITE,27,51.744393229
ELITE,28,57.769518895
ELITE,29,66.264785047
ELITE,30,36.972145393
ELITE,31,87.945639661
ELITE,32,86.140997585
ELITE,33,65.409868456
ELITE,34,78.635065648
ELITE,35,40.990173064
ENERGY-SISTEM,22,15.565836722
ENERGY-SISTEM,23,40.793990594
ENERGY-SISTEM,24,37.551962412
ENERGY-SISTEM,25,7.260891215
ENERGY-SISTEM,27,35.289125549
ENERGY-SISTEM,28,3.46475123
ENERGY-SISTEM,29,38.704903341
ENERGY-SISTEM,31,11.021893328
ENERGY-SISTEM,34,17.338808088
ENERGY-SISTEM,35,15.216800002
EPAD,23,9.715233434
EPAD,24,23.828512113
EPAD,26,9.886156199
EPAD,27,31.007927669
EPAD,28,18.87089689
EPAD,31,9.981962773
EPAD,32,23.585904019
EPAD,33,21.465418065
EPAD,34,32.645190618
EPAD,35,12.897665854
ERICSSON,22,268.518671354
ERICSSON,23,308.753463259
ERICSSON,24,301.982149042
ERICSSON,25,302.787189382
ERICSSON,26,318.117813957
ERICSSON,27,305.904421
ERICSSON,28,314.854913854
ERICSSON,29,291.82137452
ERICSSON,30,292.657502349
ERICSSON,31,312.747223064
ERICSSON,32,378.248517691
ERICSSON,33,335.84267499
ERICSSON,34,394.13999072
ERICSSON,35,340.267209558
EXPRESS,22,29.956809578
EXPRESS,23,3.763784962
EXPRESS,24,13.525929179
EXPRESS,25,33.792829119
EXPRESS,27,26.808152856
EXPRESS,28,16.906576858
EXPRESS,29,43.621201416
EXPRESS,30,29.208067877
EXPRESS,31,6.552667946
EXPRESS,32,30.381821859
EXPRESS,33,42.59844314
EXPRESS,34,28.477274264
EXPRESS,35,23.198825562
FISE,22,19.249076212
FISE,23,8.055944556
FISE,24,8.343694625
FISE,25,14.084425947
FISE,26,10.199053063
FISE,27,13.550835456
FISE,28,2.939090238
FISE,29,10.019523052
FISE,30,18.115772372
FISE,31,5.891239915
FISE,32,18.424249927
FISE,33,13.881871777
FISE,34,8.082770199
FISE,35,10.222340912
FIVE STAR,22,101.584788145
FIVE STAR,23,173.688535682
FIVE STAR,24,168.229250802
FIVE STAR,25,138.073220579
FIVE STAR,26,136.847341618
FIVE STAR,27,132.625881029
FIVE STAR,28,134.448985629
FIVE STAR,29,177.400744336
FIVE STAR,30,173.973767032
FIVE STAR,31,148.20794446
FIVE STAR,32,185.311550718
FIVE STAR,33,158.147592378
FIVE STAR,34,172.847595317
FIVE STAR,35,219.77047211
FORME,31,3.561741587
FORME,34,15.047338635
FORME,35,15.104031883
FOUR MOBILE,22,34.232716363
FOUR MOBILE,23,44.663293713
FOUR MOBILE,24,36.985083602
FOUR MOBILE,25,49.79029137
FOUR MOBILE,26,69.986387689
FOUR MOBILE,27,60.069220939
FOUR MOBILE,28,39.090254991
FOUR MOBILE,29,27.117597964
FOUR MOBILE,30,37.326488803
FOUR MOBILE,31,29.642161425
FOUR MOBILE,32,34.110182728
FOUR MOBILE,33,48.58827945
FOUR MOBILE,34,50.854185664
FOUR MOBILE,35,63.24886956
G-BEST,22,3.992339412
G-BEST,23,11.888276092
G-BEST,24,10.103536838
G-BEST,25,17.805003037
G-BEST,26,4.783966485
G-BEST,27,6.723497005
G-BEST,28,5.464072674
G-BEST,29,2.418605303
G-BEST,30,19.172244687
G-BEST,31,18.857479138
G-BEST,32,12.479093517
G-BEST,33,4.249514917
G-BEST,34,5.874880213
G-BEST,35,9.118377026
G-MOBILE,24,19.860778733
G-MOBILE,25,20.013438323
G-MOBILE,26,8.66339772
G-MOBILE,27,5.306310399
G-MOBILE,28,14.236061775
G-MOBILE,29,7.619628924
G-MOBILE,30,5.56813456
G-MOBILE,31,13.401211279
G-MOBILE,32,13.672812466
G-MOBILE,33,19.101021285
G-MOBILE,34,14.956888533
G-MOBILE,35,13.613320691
G-PHONE,22,355.993284477
G-PHONE,23,327.827057338
G-PHONE,24,346.735296389
G-PHONE,25,259.010496989
G-PHONE,26,405.468927764
G-PHONE,27,328.582494444
G-PHONE,28,338.350708191
G-PHONE,29,402.158079179
G-PHONE,30,460.263070471
G-PHONE,31,504.005943192
G-PHONE,32,498.910066366
G-PHONE,33,503.649051393
G-PHONE,34,549.985596387
G-PHONE,35,468.98688193
G-TECH,22,18.964808507
G-TECH,23,1.795567339
G-TECH,24,20.107219937
G-TECH,25,11.160635481
G-TECH,26,6.568186753
G-TECH,27,19.775182117
G-TECH,28,1.227315449
G-TECH,29,0.9172173074
G-TECH,30,1.891639798
G-TECH,31,8.384104838
G-TECH,32,15.232444237
G-TECH,33,4.664911016
G-TECH,34,4.220740146
G-TECH,35,9.968053741
GALAXY,22,12.128095269
GALAXY,23,27.916545253
GALAXY,24,18.350553021
GALAXY,25,34.695499815
GALAXY,26,4.808908995
GALAXY,27,19.220858243
GALAXY,28,21.929709072
GALAXY,29,11.090654828
GALAXY,30,34.314976749
GALAXY,31,34.316182248
GALAXY,32,9.847915595
GALAXY,33,5.899087433
GALAXY,34,30.440854302
GALAXY,35,28.409174297
GAOXINQI,22,1.226717372
GAOXINQI,23,12.755053449
GAOXINQI,24,3.552796623
GAOXINQI,25,6.50272337
GAOXINQI,26,14.263883515
GAOXINQI,27,15.579179447
GAOXINQI,28,14.064191527
GAOXINQI,29,12.349670148
GAOXINQI,30,2.627830762
GAOXINQI,31,5.990040236
GAOXINQI,32,18.476871322
GAOXINQI,33,7.13026107
GAOXINQI,34,11.092541525
GAOXINQI,35,17.819580847
GDL,22,19.797629923
GDL,23,8.187754711
GDL,24,22.42647122
GDL,25,19.841623484
GDL,26,18.072502248
GDL,27,21.439110242
GDL,28,6.825634625
GDL,29,14.241986515
GDL,30,4.791521937
GDL,31,20.974942928
GDL,32,3.804723589
GDL,33,22.281700141
GDL,34,8.998204338
GDL,35,7.082428545
GFIVE,22,77.072320659
GFIVE,23,53.337785063
GFIVE,24,85.485378785
GFIVE,25,92.92714954
GFIVE,26,82.092369411
GFIVE,27,53.544210158
GFIVE,28,38.328849717
GFIVE,29,88.330302533
GFIVE,30,55.668273358
GFIVE,31,67.033127382
GFIVE,32,107.945595551
GFIVE,33,136.664438914
GFIVE,34,94.66049744
GFIVE,35,91.90186916
GIANT STAR MOBILE,22,35.717698442
GIANT STAR MOBILE,23,21.577148393
GIANT STAR MOBILE,24,25.381901111
GIANT STAR MOBILE,25,40.618859983
GIANT STAR MOBILE,26,39.599523616
GIANT STAR MOBILE,27,44.199091991
GIANT STAR MOBILE,28,1.728854282
GIANT STAR MOBILE,29,19.374409933
GIANT STAR MOBILE,30,6.506930255
GIANT STAR MOBILE,31,40.642153188
GIANT STAR MOBILE,32,15.071462719
GIANT STAR MOBILE,33,41.657846717
GIANT STAR MOBILE,34,9.439238781
GIANT STAR MOBILE,35,40.285173318
GIONEE,22,52.864514815
GIONEE,23,63.452133921
GIONEE,24,94.627939368
GIONEE,25,72.319550878
GIONEE,26,64.104577361
GIONEE,27,62.893166598
GIONEE,28,42.753685022
GIONEE,29,69.650705062
GIONEE,30,48.309732822
GIONEE,31,76.054006116
GIONEE,32,39.430830065
GIONEE,33,84.700487986
GIONEE,34,91.415391118
GIONEE,35,66.756034404
GLX,22,8.993619259
GLX,23,40.517404625
GLX,24,16.376155445
GLX,25,33.606853606
GLX,26,29.610063982
GLX,31,2.534753853
GLX,32,11.64424627
GLX,33,14.167070553
GLX,34,19.34381266
GLX,35,24.562026499
GOLDBERG,22,61.148046908
GOLDBERG,23,86.167211248
GOLDBERG,24,85.151597408
GOLDBERG,25,1.402305602
GOLDBERG,26,31.84725505
GOLDBERG,27,59.903947827
GOLDBERG,28,49.568793853
GOLDBERG,29,47.190109818
GOLDBERG,30,30.425349581
GOLDBERG,31,82.434283158
GOLDBERG,32,73.067256264
GOLDBERG,33,74.742435029
GOLDBERG,34,89.405623134
GOLDBERG,35,35.021679948
GOOGLE,22,17.201317276
GOOGLE,23,27.261061365
GOOGLE,24,30.183786045
GOOGLE,25,37.008789944
GOOGLE,26,21.108890748
GOOGLE,27,18.728993732
GOOGLE,28,17.022690996
GOOGLE,29,33.208537714
GOOGLE,30,7.059043123
GOOGLE,31,24.873476905
GOOGLE,32,31.662465955
GOOGLE,33,20.947952846
GOOGLE,34,34.866022785
GOOGLE,35,39.090897511
GREYMARKET,22,279.326631871
GREYMARKET,23,375.768661582
GREYMARKET,24,438.104434564
GREYMARKET,25,353.642872415
GREYMARKET,26,303.96355894
GREYMARKET,27,299.541737532
GREYMARKET,28,293.378440977
GREYMARKET,29,320.680221675
GREYMARKET,30,344.445508632
GREYMARKET,31,409.010730919
GREYMARKET,32,345.673934042
GREYMARKET,33,342.522447081
GREYMARKET,34,416.47629821
GREYMARKET,35,402.712655571
HEDY,22,33.0127489
HEDY,23,18.729402841
HEDY,24,76.621150934
HEDY,25,70.609710161
HEDY,26,62.766344183
HEDY,27,57.257836723
HEDY,28,33.939452574
HEDY,29,66.078821113
HEDY,30,33.712370077
HEDY,31,45.919888313
HEDY,32,64.106660055
HEDY,33,86.223755585
HEDY,34,89.927120049
HEDY,35,90.746269632
HELLO,22,19.555974304
HELLO,23,3.589037252
HELLO,24,1.860708417
HELLO,25,6.75657737
HELLO,26,15.776996473
HELLO,27,4.204821074
HELLO,28,3.163386718
HELLO,29,1.321430357
HELLO,30,5.865327634
HELLO,31,1.83132546
HELLO,32,5.897835789
HELLO,33,21.988360737
HELLO,34,9.063463158
HELLO,35,16.844648972
HIMAX,22,137.672214974
HIMAX,23,215.818799246
HIMAX,24,182.823322677
HIMAX,25,153.501496917
HIMAX,26,188.582559285
HIMAX,27,202.506918104
HIMAX,28,152.326243636
HIMAX,29,174.259196598
HIMAX,30,208.022544303
HIMAX,31,235.550004491
HIMAX,32,237.642613055
HIMAX,33,249.673573191
HIMAX,34,222.126248871
HIMAX,35,278.166804704
HISENSE,22,4.030525223
HISENSE,23,19.290998895
HISENSE,24,16.443634682
HISENSE,25,30.452040905
HISENSE,26,9.523477023
HISENSE,27,16.643195988
HISENSE,28,20.190354463
HISENSE,29,3.507047559
HISENSE,30,2.73132385
HISENSE,31,28.007407511
HISENSE,32,27.648626313
HISENSE,33,30.45926216
HISENSE,34,19.055786183
HISENSE,35,21.656745105
HOPE,22,16.026840783
HOPE,23,0.2016268929
HOPE,25,22.501408434
HOPE,33,12.861151648
HOTWAV,22,190.807875018
HOTWAV,23,309.332124484
HOTWAV,24,341.001899593
HOTWAV,25,270.997910293
HOTWAV,26,246.526796521
HOTWAV,27,251.568846596
HOTWAV,28,256.5363435
HOTWAV,29,228.324179841
HOTWAV,30,295.111121714
HOTWAV,31,289.479152275
HOTWAV,32,329.571644193
HOTWAV,33,394.586225257
HOTWAV,34,418.197397899
HOTWAV,35,376.631474607
HTC,22,492.406493123
HTC,23,838.87088448
HTC,24,826.248834254
HTC,25,670.70496541
HTC,26,780.388134244
HTC,27,660.836565466
HTC,28,776.357753793
HTC,29,691.783553053
HTC,30,922.43566427
HTC,31,1148.120471585
HTC,32,1037.464658548
HTC,33,1042.980371759
HTC,34,1133.901431966
HTC,35,902.291985839
HUAWEI,22,6179.351665545
