CUSTOMER_AGE,WEEK_NUMBER,TOTAL_REVENUE
45,34,5501.000296616
45,35,5401.190808486
46,22,5170.237230409
46,23,6876.590932096
46,24,6598.435264764
46,25,5448.318284757
46,26,5754.197321601
46,27,5428.59299305
46,28,5287.786719759
46,29,5869.118022656
46,30,5926.116603699
46,31,6417.447215792
46,32,6676.110847197
46,33,6729.030905455
46,34,7122.986125249
46,35,7035.231802722
47,22,2682.408168883
47,23,3224.562412852
47,24,3172.798305047
47,25,2817.859558733
47,26,3161.238312285
47,27,2954.190457767
47,28,2789.466937875
47,29,3021.881934964
47,30,3040.264394819
47,31,3210.753431235
47,32,3348.444975544
47,33,3413.621922327
47,34,3503.37941316
47,35,3471.466316281
48,22,3648.197149494
48,23,4172.315388342
48,24,4581.286651294
48,25,3920.539920248
48,26,4097.421948236
48,27,4030.624158238
48,28,3979.144790691
48,29,4164.945850086
48,30,4312.675595507
48,31,4676.917182556
48,32,4769.70772799
48,33,4879.279489128
48,34,5038.665938153
48,35,5009.938006188
49,22,2003.487241958
49,23,2238.759344936
49,24,2503.449439673
49,25,1993.049278707
49,26,2037.220515001
49,27,2490.395530512
49,28,2280.113809215
49,29,2397.785941236
49,30,2444.978228555
49,31,2453.421421567
49,32,2553.085885895
49,33,2692.606284566
49,34,2692.083594699
49,35,2997.965023854
50,22,2838.739738946
50,23,3303.041579421
50,24,3251.499240146
50,25,2632.417096249
50,26,2839.4759235
50,27,2668.439144324
50,28,2793.441261392
50,29,3177.160900757
50,30,2982.879661069
50,31,3461.375348591
50,32,3363.875240336
50,33,3671.616568272
50,34,3731.761229566
50,35,3558.653021856
51,22,4926.540740384
51,23,5740.154113311
51,24,5552.253298745
51,25,5092.001883215
51,26,4884.920990485
51,27,4915.198113358
51,28,4962.686905079
51,29,5695.973489242
51,30,5520.10128908
51,31,6181.582692599
51,32,6383.534360436
51,33,6374.252097789
51,34,6384.259706813
51,35,6719.705332158
52,22,2361.471718299
52,23,2886.645891545
52,24,2827.48658931
52,25,2591.124449189
52,26,2736.072290128
52,27,2476.132689173
52,28,2387.740355744
52,29,2544.331070559
52,30,2678.293178546
52,31,2937.730458047
52,32,2969.27924004
52,33,3249.216429668
52,34,3471.407866794
52,35,3198.469000019
53,22,2866.517904209
53,23,3588.659533136
53,24,3720.888759598
53,25,3163.34726537
53,26,3145.64482167
53,27,3359.089595889
53,28,3441.062872171
53,29,3263.276078905
53,30,3638.926894445
53,31,3704.951961012
53,32,3726.586733804
53,33,3872.979812862
53,34,4128.269704898
53,35,4217.135945795
54,22,2282.807834477
54,23,2681.988973137
54,24,2640.324317846
54,25,2360.322848801
54,26,2445.934567913
54,27,2380.325443451
54,28,2338.160037839
54,29,2639.806310491
54,30,2491.831134631
54,31,2884.083866161
54,32,2816.788973018
54,33,2909.809902766
54,34,2953.328512608
54,35,2872.495012083
55,22,2131.052887307
55,23,2523.795410082
55,24,2821.304289691
55,25,2218.889198139
55,26,2419.925404114
55,27,2649.257647718
55,28,2465.284205802
55,29,2427.26865234
55,30,2707.465277709
55,31,2775.536575019
55,32,2835.31871448
55,33,2906.250736602
55,34,3039.805092521
55,35,2583.966046729
56,22,3533.239835418
56,23,3973.412397053
56,24,4050.361109903
56,25,3249.982498014
56,26,3526.683798306
56,27,3661.795735775
56,28,3521.215406169
56,29,4048.614657016
56,30,4200.360239645
56,31,4463.948893418
56,32,4342.826038957
56,33,4393.485829839
56,34,4687.916046557
56,35,4730.108744474
57,22,1282.229230942
57,23,1368.573123802
57,24,1436.397556549
57,25,1269.319271616
57,26,1307.860182416
57,27,1307.550716085
57,28,1368.481210549
57,29,1479.35486621
57,30,1441.843540778
57,31,1610.129194219
57,32,1605.435097333
57,33,1511.141237017
57,34,1599.779099498
57,35,1587.584440762
58,22,1969.360747266
58,23,2707.7050252
58,24,2598.363546687
58,25,2332.665451099
58,26,2344.177001996
58,27,2414.35005202
58,28,2195.497669553
58,29,2111.403834634
58,30,2407.098628859
58,31,2545.642311571
58,32,2781.53656251
58,33,2703.964955217
58,34,2709.001379454
58,35,2829.355712569
59,22,964.985345806
59,23,985.819712238
59,24,1330.256503923
59,25,912.036025512
59,26,1036.239861783
59,27,1028.304596708
59,28,1023.382563199
59,29,1155.304788572
59,30,1073.205704034
59,31,1095.437457661
59,32,1188.357806026
59,33,1275.771670953
59,34,1164.587589861
59,35,1361.546807653
60,22,1547.072471177
60,23,1615.887842032
60,24,1753.558314945
60,25,1431.348362225
60,26,1592.221651479
60,27,1355.197186748
60,28,1531.014308982
60,29,1583.559779164
60,30,1482.261502761
60,31,1639.646823248
60,32,1696.389339041
60,33,1773.531726966
60,34,1788.98836682
60,35,1909.379017139
61,22,2426.499258049
61,23,2771.323257434
61,24,2781.066436352
61,25,1964.221717082
61,26,2230.44763992
61,27,2541.803817648
61,28,2500.05697386
61,29,2658.761299636
61,30,2585.164889581
61,31,2872.869617452
61,32,2670.649095341
61,33,2919.987024737
61,34,3266.934939116
61,35,3215.191377309
62,22,752.139741577
62,23,905.444258406
62,24,1046.087394074
62,25,890.503549607
62,26,803.48531571
62,27,869.858855393
62,28,751.988386008
62,29,818.348381327
62,30,846.651617735
62,31,902.271482337
62,32,943.979978956
62,33,974.336037665
62,34,1202.193962051
62,35,999.544560879
63,22,1354.063934229
63,23,1431.472645924
63,24,1243.053199098
63,25,1146.4504836
63,26,1271.51396707
63,27,1499.886521257
63,28,1388.248774884
63,29,1355.85989366
63,30,1527.955831938
63,31,1440.979585244
63,32,1675.688155505
63,33,1555.9163035
63,34,1470.798500974
63,35,1664.746953971
64,22,902.428105662
64,23,1054.823519853
64,24,983.900518061
64,25,894.302867929
64,26,797.591511337
64,27,937.928466458
64,28,848.688997356
64,29,885.598555169
64,30,875.851412872
64,31,1010.41537117
64,32,1034.302631659
64,33,1096.645164525
64,34,1091.819566867
64,35,1043.112829704
65,22,834.196955482
65,23,944.688832015
65,24,1047.312085919
65,25,813.709761555
65,26,839.018545029
65,27,760.635801316
65,28,974.048568914
65,29,990.712277702
65,30,787.392325827
65,31,1091.223591685
65,32,1174.415987389
65,33,1133.347933077
65,34,1141.081855953
65,35,1106.604647329
66,22,1463.539742325
66,23,1791.530661274
66,24,1895.156308163
66,25,1560.709815661
66,26,1434.175868398
66,27,1532.275984034
66,28,1672.756737052
66,29,1833.944687023
66,30,1923.699014521
66,31,1954.073676827
66,32,1918.043296579
66,33,1966.639420693
66,34,2178.586335413
66,35,1924.949133557
67,22,958.454417095
67,23,980.121252658
67,24,1058.077743025
67,25,937.5675703
67,26,972.55311044
67,27,923.290252567
67,28,915.183840083
67,29,808.446403605
67,30,1035.451626433
67,31,984.456275551
67,32,1051.327698556
67,33,1027.97995672
67,34,1100.790897229
67,35,1134.532907978
68,22,530.807205547
68,23,926.851749275
68,24,856.551648009
68,25,784.617744593
68,26,728.879344774
68,27,684.813119314
68,28,724.496461168
68,29,704.209420699
68,30,663.674843632
68,31,903.608872861
68,32,777.496896234
68,33,753.071288647
68,34,858.685691915
68,35,962.584683946
69,22,371.605611983
69,23,416.644183287
69,24,451.566948907
69,25,368.867480689
69,26,393.687884534
69,27,468.362844416
69,28,413.726698751
69,29,443.201434436
69,30,393.877084253
69,31,381.561349954
69,32,469.47086531
69,33,597.614980707
69,34,499.517942041
69,35,530.397721688
70,22,628.191491172
70,23,699.300897197
70,24,778.596085654
70,25,638.409174244
70,26,711.463973586
70,27,616.178181579
70,28,592.722514419
70,29,756.76474625
70,30,577.169579692
70,31,823.526240184
70,32,792.290791432
70,33,769.782518962
70,34,776.423682277
70,35,734.464954666
71,22,921.503803269
71,23,1157.083814204
71,24,1047.851964604
71,25,963.421517273
71,26,1121.16329444
71,27,1029.596934091
71,28,1034.523817003
71,29,1114.227473515
71,30,1030.511900119
71,31,1129.76462998
71,32,1303.199342549
71,33,1317.313215909
71,34,1284.21129287
71,35,1444.561272653
72,22,229.188942108
72,23,324.337966812
72,24,259.459549288
72,25,223.247025489
72,26,303.97666196
72,27,272.76801059
72,28,339.64204235
72,29,226.64319068
72,30,315.820500466
72,31,278.233061886
72,32,301.923612139
72,33,373.070783332
72,34,334.916354569
72,35,346.695207979
73,22,534.094684763
73,23,463.410534215
73,24,433.726055653
73,25,410.035676948
73,26,376.878627624
73,27,450.379239944
73,28,497.982764687
73,29,444.070959384
73,30,456.319754842
73,31,464.170701079
73,32,495.710549623
73,33,532.909690271
73,34,537.132690664
73,35,556.917188647
74,22,170.27833442
74,23,237.999960319
74,24,193.527972396
74,25,150.341913232
74,26,194.519371493
74,27,250.306112676
74,28,188.632189066
74,29,224.589655717
74,30,228.932724221
74,31,227.853526125
74,32,272.278282457
74,33,247.594172801
74,34,233.912405901
74,35,246.540670868
75,22,252.978100813
75,23,284.579568772
75,24,307.395267818
75,25,395.606513337
75,26,377.648401689
75,27,355.076699118
75,28,340.504195901
75,29,468.115753921
75,30,351.1564334
75,31,359.186465919
75,32,493.569996725
75,33,456.486142787
75,34,463.628270398
75,35,449.359924868
76,22,555.91815222
76,23,527.192304251
76,24,636.622083791
76,25,516.533409925
76,26,559.485123475
76,27,476.241965678
76,28,594.223939073
76,29,516.111289301
76,30,600.879317578
76,31,700.131027641
76,32,699.690620922
76,33,823.822771487
76,34,765.088997401
76,35,776.933009712
77,22,90.076469761
77,23,110.489713242
77,24,134.015758349
77,25,130.896947103
77,26,120.788408381
77,27,123.333195302
77,28,173.118422503
77,29,133.214228157
77,30,88.248971829
77,31,189.136916486
77,32,213.514508026
77,33,200.322513323
77,34,202.945675393
77,35,190.175584729
78,22,117.07533482
78,23,170.656448754
78,24,174.904086585
78,25,112.700013785
78,26,97.228964488
78,27,168.47714697
78,28,173.872959782
78,29,202.960815525
78,30,170.739209365
78,31,145.999412667
78,32,209.084073573
78,33,205.194708843
78,34,164.747309885
78,35,203.284552123
79,22,41.025881589
79,23,59.581599073
79,24,44.143757426
79,25,51.440712596
79,26,84.881601908
79,27,62.544511581
79,28,69.850321045
79,29,52.986816791
79,30,78.536235819
79,31,73.797728049
79,32,67.250099191
79,33,87.676158315
79,34,102.513718811
79,35,41.805807327
80,22,141.709073858
80,23,141.737784468
80,24,119.927105455
80,25,104.257599708
80,26,134.46046388
80,27,118.435556933
80,28,196.049499496
80,29,88.88627535
80,30,108.624149992
80,31,183.273900128
80,32,171.347567658
80,33,119.796836043
80,34,92.389157459
80,35,133.807853178
81,22,182.97102507
81,23,264.358480933
81,24,245.110149828
81,25,144.721762808
81,26,194.720356405
81,27,155.788361709
81,28,208.008403866
81,29,201.081268409
81,30,229.582866935
81,31,210.714553205
81,32,192.506260287
81,33,261.25542613
81,34,313.087018153
81,35,202.204313269
82,22,14.278615584
82,23,12.336696759
82,24,23.073775941
82,25,7.891216662
82,26,7.167047571
82,27,20.828661733
82,28,10.551601627
82,29,13.07058892
82,30,8.777634218
82,31,2.879411412
82,32,9.24095266
82,33,4.702960236
82,34,19.99368239
82,35,8.303945819
83,22,29.855908405
83,23,39.300850205
83,24,43.318310343
83,25,38.331173955
83,26,37.250316158
83,27,41.513847453
83,28,33.603590644
83,29,70.079556863
83,30,46.314371853
83,31,51.528537746
83,32,83.829726088
83,33,76.087737537
83,34,42.426990576
83,35,35.552932685
84,22,61.547255483
84,23,80.629574968
84,24,80.704877683
84,25,54.001873597
84,26,52.564780924
84,27,47.892853183
84,28,44.420641951
84,29,55.799508911
84,30,40.635264953
84,31,71.156717156
84,32,69.373632036
84,33,66.252385418
84,34,53.843183249
84,35,63.954035935
85,22,36.412600196
85,23,88.747188815
85,24,108.248126001
85,25,129.690541497
85,26,110.035857903
85,27,58.725346962
85,28,80.86552625
85,29,63.94790553
85,30,102.776621477
85,31,105.516471029
85,32,87.176913319
85,33,109.491013315
85,34,104.146575603
85,35,119.069233626
86,22,134.874756995
86,23,119.090025385
86,24,132.879810419
86,25,99.938638671
86,26,151.333564719
86,27,104.076085339
86,28,148.250711909
86,29,128.68377064
86,30,95.070998405
86,31,160.114545669
86,32,130.834950595
86,33,112.874039134
86,34,162.765311694
86,35,169.128754411
87,22,37.283131108
87,23,31.041360083
87,24,49.347534108
87,25,40.009938787
87,26,31.784484135
87,27,45.277568851
87,28,44.552547016
87,29,47.89815838
87,30,62.55756547
87,31,57.581028258
87,32,33.617625682
87,33,59.77860255
87,34,32.47889127
87,35,42.83527311
88,22,17.553693692
88,23,31.716229604
88,24,36.847659807
88,25,48.857440459
88,26,21.041636203
88,27,23.197471462
88,28,70.118253021
88,29,24.971626893
88,30,53.168450145
88,31,52.30022851
88,32,22.359728562
88,33,31.147598756
88,34,67.115149812
88,35,44.919777875
89,22,9.928198768
89,23,11.470354262
89,24,9.704098649
89,25,17.070744243
89,26,13.402839044
89,27,4.903844565
89,28,6.821267231
89,29,17.486142622
89,30,11.180298194
89,31,10.791877501
89,32,9.674755002
89,33,18.923487453
89,34,11.324410709
89,35,4.93700041
90,22,5.713511773
90,23,38.128064219
90,24,30.848920074
90,25,1.86892693
90,26,37.578044107
90,27,21.930239869
90,28,23.908097917
90,29,38.098174762
90,30,11.871799015
90,31,4.927410433
90,32,11.33488193
90,33,21.934432712
90,34,14.010748864
90,35,23.998837226
91,22,20.859034866
91,23,44.34518951
91,24,66.574636908
91,25,26.139515329
91,26,32.257084347
91,27,61.886865344
91,28,11.747639788
91,29,54.894104984
91,30,33.6051202
91,31,18.347280715
91,32,17.712146419
91,33,39.807807574
91,34,29.736310053
91,35,41.608665851
96,22,18.563076488
96,23,57.345087767
96,24,31.72195932
96,25,38.275209942
96,26,32.187324773
96,27,25.737180356
96,28,16.889585397
96,29,29.659298285
96,30,33.384026036
96,31,17.539972933
96,32,33.995947618
96,33,34.505457159
96,34,26.354053089
96,35,27.329501978
98,30,7.756255091
98,32,17.012603833
98,33,10.135129879
98,34,4.333810801
98,35,4.441351479
99,25,19.133470226
99,28,5.468720829
99,29,13.891533602
99,30,11.575469527
99,31,11.305044638
99,32,17.726698092
99,33,15.34365591
99,34,24.011749273
99,35,13.810039137
103,22,14.742173718
103,23,20.375437656
103,24,7.552554821
103,25,38.320274488
103,27,13.538933265
103,34,8.916991746
104,22,8.554838868
104,23,20.709214749
104,24,10.38233815
104,25,17.378518178
104,26,6.209148921
104,27,3.367155035
104,28,8.248860619
104,29,13.59449916
104,30,6.443533223
104,31,8.143117349
104,32,10.309839743
104,33,11.20982686
104,34,8.692313711
104,35,4.718032838
105,23,21.386563973
105,24,10.690282814
105,26,7.615973187
105,27,3.501173131
105,28,18.960663453
105,29,1.785780185
105,30,11.248286884
105,31,7.301328571
105,32,12.743684942
105,33,14.191769172
105,34,12.722660976
105,35,18.815616038
