OS_NAME,WEEK_NUMBER,HIGHEST_REVENUE_BY_OSNAME
LG OS,29,21.371825581
LG OS,30,19.560893238
LG OS,31,23.601471952
LG OS,32,25.548624621
LG OS,33,23.478106743
LG OS,34,20.460441753
LG OS,35,16.270650528
MOCOR OS,22,14.724631356
MOCOR OS,23,20.712257911
MOCOR OS,24,8.652327108
MOCOR OS,25,17.625584261
MOCOR OS,26,20.134279929
MOCOR OS,27,9.021659924
MOCOR OS,28,19.230442618
MOCOR OS,29,12.482488352
MOCOR OS,30,14.297008296
MOCOR OS,31,20.698816786
MOCOR OS,32,21.269441566
MOCOR OS,33,11.463046242
MOCOR OS,34,18.836520838
MOCOR OS,35,10.092126248
MTK RTOS,22,19.464627231
MTK RTOS,23,21.336322604
MTK RTOS,24,23.112113942
MTK RTOS,25,22.347085321
MTK RTOS,26,20.745429318
MTK RTOS,27,24.276255318
MTK RTOS,28,20.548741498
MTK RTOS,29,21.54456581
MTK RTOS,30,21.259018006
MTK RTOS,31,20.308518707
MTK RTOS,32,22.667381929
MTK RTOS,33,28.247783573
MTK RTOS,34,27.209460649
MTK RTOS,35,23.054828332
NUCLEUS,22,17.612159277
NUCLEUS,23,18.558833667
NUCLEUS,24,19.588025349
NUCLEUS,25,13.903293686
NUCLEUS,26,17.232020224
NUCLEUS,27,15.804640849
NUCLEUS,28,20.388150337
NUCLEUS,29,20.02076632
NUCLEUS,30,12.138019276
NUCLEUS,31,20.684925464
NUCLEUS,32,9.062215493
NUCLEUS,33,13.704645355
NUCLEUS,34,24.475033742
NUCLEUS,35,15.326066946
Nokia OS,22,20.189395979
Nokia OS,23,21.704987698
Nokia OS,24,24.871998207
Nokia OS,25,20.550800816
Nokia OS,26,21.076971157
Nokia OS,27,25.123500864
Nokia OS,28,20.573203346
Nokia OS,29,21.502818665
Nokia OS,30,21.904898738
Nokia OS,31,25.501161066
Nokia OS,32,24.217787236
Nokia OS,33,21.819430741
Nokia OS,34,23.652474117
Nokia OS,35,25.658155306
Proprietary OS,22,27.857208636
Proprietary OS,23,40.382645483
Proprietary OS,24,32.591137633
Proprietary OS,25,25.290538614
Proprietary OS,26,25.68328088
Proprietary OS,27,25.902890042
Proprietary OS,28,31.312834022
Proprietary OS,29,40.740930727
Proprietary OS,30,35.241575935
Proprietary OS,31,33.99554758
Proprietary OS,32,37.552702508
Proprietary OS,33,38.975400726
Proprietary OS,34,35.919345425
Proprietary OS,35,40.259772928
SPREADTRUM OS,22,20.038596008
SPREADTRUM OS,23,21.123531967
SPREADTRUM OS,24,24.533326565
SPREADTRUM OS,25,19.740310869
SPREADTRUM OS,26,20.278397747
SPREADTRUM OS,27,19.709978845
SPREADTRUM OS,28,16.777045692
SPREADTRUM OS,29,20.431949702
SPREADTRUM OS,30,17.632942201
SPREADTRUM OS,31,21.329984973
SPREADTRUM OS,32,20.458757889
SPREADTRUM OS,33,19.582959491
SPREADTRUM OS,34,21.94683377
SPREADTRUM OS,35,21.164729949
Samsung OS,22,23.064522496
Samsung OS,23,30.02687295
Samsung OS,24,31.712722157
Samsung OS,25,22.107124427
Samsung OS,26,28.408986935
Samsung OS,27,22.556306621
Samsung OS,28,22.684752708
Samsung OS,29,23.228933957
Samsung OS,30,31.493220272
Samsung OS,31,29.939524293
Samsung OS,32,28.226534783
Samsung OS,33,32.109015611
Samsung OS,34,34.692613561
Samsung OS,35,39.810051819
Series30,22,21.830943215
Series30,23,25.932983962
Series30,24,25.383883794
Series30,25,21.67992566
Series30,26,25.657976117
Series30,27,23.125791593
Series30,28,22.362343377
Series30,29,23.212643762
Series30,30,24.249642584
Series30,31,23.275765146
Series30,32,28.198398912
Series30,33,28.131157332
Series30,34,26.094582325
Series30,35,29.059635407
Series40,22,21.996764272
Series40,23,24.481879097
Series40,24,23.977261031
Series40,25,22.350893462
Series40,26,21.13643868
Series40,27,22.382272371
Series40,28,24.289791481
Series40,29,22.862736661
Series40,30,22.916665615
Series40,31,27.551950012
Series40,32,23.412526025
Series40,33,22.651904298
Series40,34,30.3518906
Series40,35,24.902671796
Series60,22,21.24184212
Series60,23,27.527073063
Series60,24,24.257144046
Series60,25,19.604085062
Series60,26,21.465034278
Series60,27,20.544494732
Series60,28,21.068504668
Series60,29,21.73419744
Series60,30,22.577036165
Series60,31,24.566274796
Series60,32,23.307434021
Series60,33,22.527121794
Series60,34,23.26447179
Series60,35,24.367747477
Siemens OS,22,19.209604026
Siemens OS,23,22.232122687
Siemens OS,24,16.897275813
Siemens OS,25,18.44790434
Siemens OS,26,19.151350984
Siemens OS,27,19.806426585
Siemens OS,28,19.388131589
Siemens OS,29,21.099623043
Siemens OS,30,21.452947047
Siemens OS,31,21.731284748
Siemens OS,32,21.25830535
Siemens OS,33,17.575743497
Siemens OS,34,22.507705652
Siemens OS,35,20.907225716
Symbian OS,22,22.60721511
Symbian OS,23,28.276908997
Symbian OS,24,30.594686651
Symbian OS,25,23.290367567
Symbian OS,26,22.642130722
Symbian OS,27,22.349964993
Symbian OS,28,23.841098242
Symbian OS,29,23.5174765
Symbian OS,30,24.91713902
Symbian OS,31,27.042056747
Symbian OS,32,29.785365284
Symbian OS,33,41.805268382
Symbian OS,34,44.721566552
Symbian OS,35,57.855227607
Tizen,22,16.82612829
Tizen,23,20.866807759
Tizen,24,21.268740412
Tizen,25,13.346723166
Tizen,26,14.469242596
Tizen,27,15.286377781
Tizen,28,18.000032188
Tizen,29,21.217960505
Tizen,30,15.461611783
Tizen,31,19.350886114
Tizen,32,18.80052752
Tizen,33,20.203094239
Tizen,34,18.658038417
Tizen,35,20.480239493
VRTXmc,22,13.676300628
VRTXmc,23,10.663571516
VRTXmc,24,8.365349735
VRTXmc,25,4.366754553
VRTXmc,26,2.8412432
VRTXmc,27,13.113588785
VRTXmc,29,13.789590636
VRTXmc,30,15.245328919
VRTXmc,31,17.05435149
VRTXmc,32,18.518632224
VRTXmc,33,18.674914619
VRTXmc,34,7.364465894
VRTXmc,35,15.488159459
Windows phone,22,21.182792675
Windows phone,23,20.9234355
Windows phone,24,22.549598552
Windows phone,25,20.534663061
Windows phone,26,22.167630748
Windows phone,27,19.816478368
Windows phone,28,23.451591841
Windows phone,29,24.883651318
Windows phone,30,21.599290871
Windows phone,31,21.688670275
Windows phone,32,21.83525183
Windows phone,33,19.65816106
Windows phone,34,20.960242053
Windows phone,35,20.112901259
Yun OS,22,4.255775883
Yun OS,23,7.766537805
Yun OS,24,18.508020665
Yun OS,25,9.691276464
Yun OS,27,4.87532797
Yun OS,28,4.50641972
Yun OS,29,4.735995136
Yun OS,30,5.577931057
Yun OS,32,11.488617015
Yun OS,34,12.191361158
Yun OS,35,2.79105859
iOS,22,21.624336819
iOS,23,33.769613888
iOS,24,44.601977461
iOS,25,21.014476038
iOS,26,32.814498225
iOS,27,27.882043043
iOS,28,24.7052623
iOS,29,31.430103495
iOS,30,34.582465945
iOS,31,34.647954217
iOS,32,28.48426177
iOS,33,35.609733693
iOS,34,28.891746344
iOS,35,26.391189018
unknown,22,29.091843516
unknown,23,47.368923989
unknown,24,38.134154615
unknown,25,25.019043328
unknown,26,29.802465055
unknown,27,24.676834577
unknown,28,23.848785845
unknown,29,25.272757252
unknown,30,25.016115881
unknown,31,28.831833326
unknown,32,29.667607507
unknown,33,30.600859843
unknown,34,32.425949537
unknown,35,32.557628351
