OS_NAME,WEEK_NUMBER,LOWEST_REVENUE_BY_OSNAME
ISA,23,13.860079053
ISA,24,5.409584461
ISA,25,7.516676353
ISA,26,5.507879183
ISA,27,3.569754391
ISA,28,10.557141798
ISA,29,5.894472016
ISA,30,0.5436795196
ISA,31,2.72984153
ISA,32,4.398050879
ISA,33,3.575723623
ISA,34,3.630611529
ISA,35,3.334925437
LG OS,22,7.575305023
LG OS,23,3.509433505
LG OS,24,2.136155735
LG OS,25,1.212837174
LG OS,26,4.415835431
LG OS,27,2.298092827
LG OS,28,1.88843436
LG OS,29,0.7575345474
LG OS,30,1.330194531
LG OS,31,0.6649290603
LG OS,32,1.432420093
LG OS,33,2.317442507
LG OS,34,0.7456441181
LG OS,35,2.610312758
MOCOR OS,22,8.320393799
MOCOR OS,23,2.696530695
MOCOR OS,24,1.00839974
MOCOR OS,25,13.755296004
MOCOR OS,26,10.596344179
MOCOR OS,27,9.021659924
MOCOR OS,28,19.230442618
MOCOR OS,29,12.482488352
MOCOR OS,30,13.026106506
MOCOR OS,31,17.424955332
MOCOR OS,32,6.079315121
MOCOR OS,33,9.659702797
MOCOR OS,34,16.361279315
MOCOR OS,35,8.059437624
MTK RTOS,22,0.5555973071
MTK RTOS,23,2.953905232
MTK RTOS,24,4.191768973
MTK RTOS,25,2.185949003
MTK RTOS,26,2.484599872
MTK RTOS,27,1.57212649
MTK RTOS,28,0.5097273369
MTK RTOS,29,1.137546599
MTK RTOS,30,2.092111419
MTK RTOS,31,2.380047662
MTK RTOS,32,1.862475788
MTK RTOS,33,1.696989878
MTK RTOS,34,3.125368875
MTK RTOS,35,0.9329870037
NUCLEUS,22,7.694160012
NUCLEUS,23,2.590280409
NUCLEUS,24,5.152806044
NUCLEUS,25,4.534852941
NUCLEUS,26,13.232054609
NUCLEUS,27,2.228773502
NUCLEUS,28,9.383072842
NUCLEUS,29,2.548805012
NUCLEUS,30,1.101239497
NUCLEUS,31,10.545393333
NUCLEUS,32,1.606560496
NUCLEUS,33,1.40168134
NUCLEUS,34,3.409500385
NUCLEUS,35,0.7083393681
Nokia OS,22,1.825608292
Nokia OS,23,1.241620839
Nokia OS,24,1.860874881
Nokia OS,25,0.3959496717
Nokia OS,26,0.2904447418
Nokia OS,27,1.045233463
Nokia OS,28,0.5302119572
Nokia OS,29,0.6888935595
Nokia OS,30,1.141434709
Nokia OS,31,0.9547021744
Nokia OS,32,0.2800509903
Nokia OS,33,2.75224348
Nokia OS,34,1.382475606
Nokia OS,35,0.5692446167
Proprietary OS,22,0.2957633433
Proprietary OS,23,0.3758023348
Proprietary OS,24,0.5602055674
Proprietary OS,25,0.1486501133
Proprietary OS,26,0.2509669321
Proprietary OS,27,0.3523077602
Proprietary OS,28,0.2219806611
Proprietary OS,29,0.1816917727
Proprietary OS,30,0.05082531677
Proprietary OS,31,0.2012267266
Proprietary OS,32,0.4033042183
Proprietary OS,33,0.4752974466
Proprietary OS,34,0.1572820039
Proprietary OS,35,0.3185873819
SPREADTRUM OS,22,4.232201688
SPREADTRUM OS,23,3.9173624
SPREADTRUM OS,24,3.874425017
SPREADTRUM OS,25,4.179001354
SPREADTRUM OS,26,0.7660900738
SPREADTRUM OS,27,0.4518534903
SPREADTRUM OS,28,0.3972478142
SPREADTRUM OS,29,1.888053071
SPREADTRUM OS,30,3.500301909
SPREADTRUM OS,31,2.049715543
SPREADTRUM OS,32,2.321995325
SPREADTRUM OS,33,3.794708054
SPREADTRUM OS,34,2.893464115
SPREADTRUM OS,35,3.275529135
Samsung OS,22,0.4976223491
Samsung OS,23,0.1976984821
Samsung OS,24,0.6121341324
Samsung OS,25,0.5950402689
Samsung OS,26,0.3095422231
Samsung OS,27,0.2910130143
Samsung OS,28,0.2653517919
Samsung OS,29,0.5051049557
Samsung OS,30,0.1935447291
Samsung OS,31,0.7176474747
Samsung OS,32,0.5551717516
Samsung OS,33,0.4168531927
Samsung OS,34,0.6314958697
Samsung OS,35,0.6094128409
Series30,22,0.6180424271
Series30,23,0.7269063458
Series30,24,1.173913793
Series30,25,0.7856141319
Series30,26,0.1549044857
Series30,27,0.4393412151
Series30,28,0.2851927927
Series30,29,0.3009954041
Series30,30,0.3779303486
Series30,31,0.699672675
Series30,32,0.3592366959
Series30,33,0.8292976624
Series30,34,0.8088242001
Series30,35,0.4428765117
Series40,22,0.7349457742
Series40,23,0.9498193656
Series40,24,0.8065358717
Series40,25,0.2847638542
Series40,26,0.3404371811
Series40,27,0.9082114143
Series40,28,0.2181374503
Series40,29,0.7767893145
Series40,30,0.31181275
Series40,31,0.8316883654
Series40,32,0.1968729124
Series40,33,0.4825678379
Series40,34,0.3316308918
Series40,35,0.8624125269
Series60,22,0.6535849714
Series60,23,2.514369881
Series60,24,1.600491235
Series60,25,0.5603290771
Series60,26,0.7186451815
Series60,27,2.943674461
Series60,28,1.879706278
Series60,29,0.4339160845
Series60,30,1.126665739
Series60,31,1.070788719
Series60,32,2.032803293
Series60,33,1.095113048
Series60,34,0.8205443531
Series60,35,0.9276380307
Siemens OS,22,2.692926899
Siemens OS,23,4.341773255
Siemens OS,24,6.09085157
Siemens OS,25,1.553287572
Siemens OS,26,1.291467048
Siemens OS,27,6.722798405
Siemens OS,28,5.7725074
Siemens OS,29,6.658646389
Siemens OS,30,3.510201324
Siemens OS,31,2.296452587
Siemens OS,32,3.459633009
Siemens OS,33,1.437695347
Siemens OS,34,5.544957003
Siemens OS,35,3.329318598
Symbian OS,22,0.3341878294
Symbian OS,23,0.472283665
Symbian OS,24,0.4426793321
Symbian OS,25,0.1749944132
Symbian OS,26,0.06702246386
Symbian OS,27,0.2062220732
Symbian OS,28,0.321008003
Symbian OS,29,0.1468370558
Symbian OS,30,0.3169452917
Symbian OS,31,0.5191337669
Symbian OS,32,0.2103970708
Symbian OS,33,0.4925976932
Symbian OS,34,0.3011346588
Symbian OS,35,0.6532986657
Tizen,22,1.7673297
Tizen,23,5.753434963
Tizen,24,0.9186664498
Tizen,25,0.9111976666
Tizen,26,3.705184238
Tizen,27,2.8706321
Tizen,28,2.597108475
Tizen,29,3.938728425
Tizen,30,1.739110239
Tizen,31,1.070655637
Tizen,32,2.196258776
Tizen,33,0.7623159422
Tizen,34,2.45324912
Tizen,35,3.037417832
VRTXmc,22,13.676300628
VRTXmc,23,10.663571516
VRTXmc,24,8.365349735
VRTXmc,25,4.366754553
VRTXmc,26,2.8412432
VRTXmc,27,13.113588785
VRTXmc,29,13.789590636
VRTXmc,30,15.245328919
VRTXmc,31,17.05435149
VRTXmc,32,4.842585752
VRTXmc,33,11.776692443
VRTXmc,34,3.496927677
VRTXmc,35,6.359174875
Windows phone,22,2.937320802
Windows phone,23,1.206682407
Windows phone,24,2.957370444
Windows phone,25,1.347547996
Windows phone,26,0.7865144741
Windows phone,27,1.425277681
Windows phone,28,0.4319249803
Windows phone,29,0.8238206558
Windows phone,30,1.200614637
Windows phone,31,3.412465895
Windows phone,32,1.692725883
Windows phone,33,1.422775684
Windows phone,34,0.8345655112
Windows phone,35,3.683446238
Yun OS,22,4.255775883
Yun OS,23,7.766537805
Yun OS,24,18.508020665
Yun OS,25,9.691276464
Yun OS,27,4.87532797
Yun OS,28,4.50641972
Yun OS,29,4.735995136
Yun OS,30,5.577931057
Yun OS,32,11.488617015
Yun OS,34,12.191361158
Yun OS,35,2.79105859
iOS,22,0.8418029963
iOS,23,0.7504632003
iOS,24,1.039761917
iOS,25,1.127594036
iOS,26,0.811066752
iOS,27,0.1864527715
iOS,28,1.616806001
iOS,29,0.5945177142
iOS,30,1.151025726
iOS,31,0.9755439347
iOS,32,1.221638677
iOS,33,1.013587352
iOS,34,1.23085138
iOS,35,0.396908902
unknown,22,0.0944101231
unknown,23,0.2016268929
unknown,24,0.1148527725
unknown,25,0.1382030832
unknown,26,0.2519305842
unknown,27,0.1005003203
unknown,28,0.09957635871
unknown,29,0.07795071654
unknown,30,0.1381981438
unknown,31,0.2002518266
unknown,32,0.2430178916
unknown,33,0.4870739219
unknown,34,0.3409341611
unknown,35,0.2411022995
